Season,Episode,Title,Airdate,Rating,Total Votes,Episode Description,episode_category,is_holiday
7,2,Captain Kim,2020-03-26 00:00:00,8.3,1943,The new captain of the Nine-Nine invites the squad over to her house for a dinner party.,Great,Non-Holiday
7,3,Pimemento,2020-02-13 00:00:00,8.6,2088,Adrian Pimento shows up unexpectedly to seek Jake and Charles' help after claiming someone is trying to kill him; the rest of the squad endures a workplace conflict seminar.,Masterpiece,Non-Holiday
7,4,The Jimmy Jab Games II,2020-02-20 00:00:00,7.9,1820,Competitive juices are flowing as Jake and the squad compete in the second Jimmy Jab Games.,Great,Non-Holiday
7,5,Debbie,2020-02-27 00:00:00,7.3,1925,"When cocaine and weapons are stolen from the evidence lock-up, the squad must investigate the Nine-Nine itself.",Great,Non-Holiday
7,6,Trying,2020-03-05 00:00:00,7.8,1762,Jake and Amy work an uncrackable case while Holt adjusts to a new beat. Hitchcock looks for the love of his life.,Great,Non-Holiday
7,7,Ding Dong,2020-03-12 00:00:00,8.7,2049,Capt. Holt deals with a personal loss; Jake must decide whether to take Terry or Charles to an exclusive event.,Masterpiece,Non-Holiday
7,8,The Takeback,2020-05-07 00:00:00,8.2,1808,"Doug Judy is back, and this time, things between him and Jake are personal; Amy and Charles try to find the perfect new vending machine for the Nine-Nine.",Great,Non-Holiday
7,9,Dillman,2020-05-14 00:00:00,8.7,1870,"When a prank goes disastrously awry, things at the Nine-Nine take a distinctly Agatha Christie turn.",Masterpiece,Non-Holiday
7,10,Admiral Peralta,2020-04-02 00:00:00,8.0,1653,Jake and his father deal with unsettled family business; Amy and Rosa work a high-profile case; Terry wants to join the NYPD band.,Great,Non-Holiday
7,11,Valloweaster,2020-04-09 00:00:00,8.3,1839,The squad competes in an effort to determine who is the greatest human/genius.,Great,Holiday
7,12,Ransom,2020-04-16 00:00:00,8.8,1961,Holt asks for Jake's help in a case that is exceptionally meaningful to him. Charles and Terry work together on a side business.,Masterpiece,Non-Holiday
7,13,Lights Out,2020-04-23 00:00:00,9.3,2786,The entire squad is on high alert when a massive blackout hits Brooklyn.,Masterpiece,Non-Holiday
8,1,The Good Ones,2021-01-01 00:00:00,4.8,4515,Amy returns from maternity leave; Jake and Rosa work a difficult case.,Weak,Non-Holiday
8,2,The Lake House,2021-08-12 00:00:00,7.9,1891,The squad takes Capt. Holt up on an offer for a weekend getaway.,Great,Non-Holiday
8,3,Blue Flu,2021-08-19 00:00:00,7.0,1641,Captain Holt and Amy manage an understaffed precinct; Jake and Charles investigate.,Average,Non-Holiday
8,4,Balancing,2021-08-19 00:00:00,7.8,1450,Jake and Amy create a system to balance work and childcare; Rosa gets a new houseguest.,Great,Non-Holiday
8,5,PB&J,2021-08-26 00:00:00,8.0,1454,Jake takes an old friend for a ride.,Great,Non-Holiday
8,6,The Set Up,2021-08-26 00:00:00,6.7,1524,"When the FBI takes over a high-profile case, Jake keeps digging; Amy and Rosa negotiate with O'Sullivan and the police union.",Average,Non-Holiday
8,7,Game of Boyles,2021-09-02 00:00:00,8.1,1278,"Terry, Jake and Charles visit the Boyle Family Farm; Amy and Rosa help out Capt. Holt.",Great,Non-Holiday
8,8,Renewal,2021-09-02 00:00:00,8.1,1211,The squad comes together to work an important high-stakes case.,Great,Non-Holiday
8,9,The Last Day Pt 1,2021-09-16 00:00:00,9.4,2130,The squad takes stock of their eight years together and look toward's their future.,Masterpiece,Non-Holiday
8,10,The Last Day Pt 2,2021-09-16 00:00:00,9.6,2697,The squad takes stock of their eight years together and look towards their future.,Masterpiece,Non-Holiday
