Season,Episode,Title,Airdate,Rating,Total Votes,Episode Description,episode_category,is_holiday
1,12,Pontiac Bandit,2014-04-03 00:00:00,8.1,3083,"Jake convinces Rosa to make a deal with a criminal in order to catch a car thief, while Charles makes an awkward return to the precinct, and Holt tries to get rid of two puppies.",Great,Non-Holiday
1,13,The Bet,2014-04-10 00:00:00,8.8,3501,"While Holt holds a celebration for Charles after he is awarded the Medal of Valor, Amy is forced to go on a ridiculous date with Jake after she loses their long-running bet.",Masterpiece,Non-Holiday
1,14,The Ebony Falcon,2014-04-17 00:00:00,7.6,2897,"Jake begins to have second thoughts about putting Terry back in the field for a dangerous undercover assignment, while Rosa and Amy try to help Gina after she is robbed.",Great,Non-Holiday
1,15,Operation: Broken Feather,2014-04-24 00:00:00,8.2,3033,"Jake is hurt when Amy tells him that she is considering leaving the precinct, while Terry helps Holt redesign the precinct to make everyone more productive.",Great,Non-Holiday
1,16,The Party,2014-05-01 00:00:00,8.5,3192,"The officers in the precinct head over to Holt's house to celebrate his birthday, but they wind up making a poor impression on his husband.",Masterpiece,Non-Holiday
1,17,Full Boyle,2014-05-08 00:00:00,7.9,2873,"Jake tries to keep Charles from going ""full Boyle"" on his new girlfriend. Meanwhile, Rosa and Amy are reluctant to help an amateur caped crime fighter, and Holt faces competition for the presidency of a police organization he founded.",Great,Non-Holiday
1,18,The Apartment,2014-05-15 00:00:00,7.7,2785,"Due to his crippling debt, Jake faces losing his apartment, and asks Gina for help. Rosa and Charles clash with one of the weekend officers, and Holt and Terry ask their officers to conduct self-evaluations.",Great,Non-Holiday
1,19,Tactical Village,2014-05-22 00:00:00,8.5,2990,"Jake tries to set a new record on a training course, Rosa is angry when she does not get an invite to Charles' wedding, and Gina helps Holt overcome his newfound addiction to a game on his smartphone.",Masterpiece,Non-Holiday
1,20,Fancy Brudgom,2014-05-29 00:00:00,7.6,2775,"Jake tries to convince Charles to stand up to Vivian before the wedding, Terry struggles to stick to a diet after Amy and Gina give up, and Holt tries to get Rosa to make a sincere apology to an officer she offended.",Great,Non-Holiday
1,21,Unsolvable,2014-06-05 00:00:00,8.2,2819,"Jake and Terry try to solve an apparently unsolvable case, Amy lies to Holt in order to dodge work and escape for a romantic weekend away, while Gina and Rosa introduce Charles to ""Babylon"", their secret bathroom.",Great,Non-Holiday
1,22,Charges and Specs,2014-06-12 00:00:00,8.9,3450,"Jake's latest investigation results in administrative leave, and, ultimately, his firing from the NYPD. Meanwhile, Charles goes into a funk after Vivian breaks up with him before their wedding, and the others try to cheer him up.",Masterpiece,Non-Holiday
